,id,humidity,temperature,created_at,updated_at
131,228885,20.0,18.5,2024-02-15 00:10:44.130699,2024-02-15 00:10:44.130699
132,228886,20.0,18.5,2024-02-15 00:10:54.158817,2024-02-15 00:10:54.158817
133,228887,20.0,18.5,2024-02-15 00:11:04.194575,2024-02-15 00:11:04.194575
134,228888,20.0,18.5,2024-02-15 00:11:14.228264,2024-02-15 00:11:14.228264
135,228889,20.0,18.5,2024-02-15 00:11:24.264659,2024-02-15 00:11:24.264659
136,228890,20.0,18.5,2024-02-15 00:11:34.290409,2024-02-15 00:11:34.290409
137,228891,20.0,18.5,2024-02-15 00:11:44.305022,2024-02-15 00:11:44.305022
138,228892,20.0,18.5,2024-02-15 00:11:54.335030,2024-02-15 00:11:54.335030
139,228893,20.0,18.5,2024-02-15 00:12:04.370758,2024-02-15 00:12:04.370758
140,228894,20.0,18.5,2024-02-15 00:12:14.400604,2024-02-15 00:12:14.400604
141,228895,20.0,18.5,2024-02-15 00:12:24.435481,2024-02-15 00:12:24.435481
142,228896,20.0,18.5,2024-02-15 00:12:34.510435,2024-02-15 00:12:34.510435
143,228897,20.0,18.5,2024-02-15 00:12:44.529806,2024-02-15 00:12:44.529806
144,228898,20.0,18.5,2024-02-15 00:12:54.529386,2024-02-15 00:12:54.529386
145,228899,20.0,18.5,2024-02-15 00:13:04.555789,2024-02-15 00:13:04.555789
146,228900,20.0,18.5,2024-02-15 00:13:14.581840,2024-02-15 00:13:14.581840
147,228901,20.0,18.5,2024-02-15 00:13:24.620661,2024-02-15 00:13:24.620661
148,228902,20.0,18.5,2024-02-15 00:13:34.644990,2024-02-15 00:13:34.644990
149,228903,20.0,18.5,2024-02-15 00:13:44.682561,2024-02-15 00:13:44.682561
150,228904,20.0,18.5,2024-02-15 00:13:54.703387,2024-02-15 00:13:54.703387
151,228905,20.0,18.5,2024-02-15 00:14:04.737135,2024-02-15 00:14:04.737135
152,228906,20.0,18.5,2024-02-15 00:14:14.766423,2024-02-15 00:14:14.766423
153,228907,20.0,18.5,2024-02-15 00:14:24.806677,2024-02-15 00:14:24.806677
154,228908,20.0,18.4,2024-02-15 00:14:34.829793,2024-02-15 00:14:34.829793
155,228909,20.0,18.4,2024-02-15 00:14:44.859093,2024-02-15 00:14:44.859093
156,228910,20.0,18.5,2024-02-15 00:14:54.882053,2024-02-15 00:14:54.882053
157,229031,20.0,18.4,2024-02-15 00:35:08.520265,2024-02-15 00:35:08.520265
158,229032,20.0,18.4,2024-02-15 00:35:18.555236,2024-02-15 00:35:18.555236
159,229033,20.0,18.4,2024-02-15 00:35:28.583612,2024-02-15 00:35:28.583612
160,229034,20.0,18.4,2024-02-15 00:35:38.606282,2024-02-15 00:35:38.606282
161,229035,20.0,18.4,2024-02-15 00:35:48.640100,2024-02-15 00:35:48.640100
162,229036,20.0,18.4,2024-02-15 00:35:58.688458,2024-02-15 00:35:58.688458
